function name,avg time,min time,max time,std dev
copy_matrix_5000,0.146463,0.428497,0.445152,0.169180
copy_matrix_7000,0.291982,0.428497,0.898975,0.337326
copy_matrix_9000,0.479046,0.428497,1.441572,0.553158
look_and_say_sequence_40,0.020120,0.059033,0.062930,0.023256
look_and_say_sequence_45,0.074217,0.059033,0.223554,0.085700
look_and_say_sequence_48,0.162074,0.059033,0.488687,0.187150
iterative_fibonacci_25,0.000000,0.000001,0.000001,0.000000
iterative_fibonacci_35,0.000000,0.000001,0.000001,0.000000
iterative_fibonacci_45,0.000000,0.000000,0.000001,0.000000
recursive_fibonacci_25,0.000055,0.000001,0.000351,0.000113
recursive_fibonacci_35,0.006256,0.000001,0.038060,0.012771
recursive_fibonacci_45,0.724623,0.000001,4.393271,1.479328
matrix_multiplication_1500,6.360099,18.626864,19.868556,7.351110
matrix_multiplication_1750,9.885475,18.626864,30.388697,11.418841
matrix_multiplication_2000,14.836193,18.626864,45.147071,17.136742
evaluate_functions_80000,23.102297,68.627151,69.706436,26.677693
evaluate_functions_90000,25.874085,68.627151,78.082800,29.877421
evaluate_functions_100000,28.777080,68.627151,87.234022,33.231680
belief_propagation_250,0.254416,0.759036,0.768847,0.293784
belief_propagation_500,0.503081,0.759036,1.515168,0.580913
belief_propagation_1000,0.999289,0.759036,3.004169,1.153884
markov_chain_function_5000,0.000275,0.000753,0.000950,0.000321
markov_chain_function_10000,0.000534,0.000753,0.001715,0.000619
markov_chain_function_15000,0.000782,0.000753,0.002437,0.000904
iterative_solver_100,0.133528,0.395726,0.403172,0.154197
iterative_solver_150,0.625570,0.395726,1.884266,0.722353
iterative_solver_200,1.916968,0.395726,5.794625,2.213595
find_munchausen_numbers_0,12.103947,11.968129,12.214883,0.102262
find_pernicious_numbers_100000,0.004666,0.004379,0.005131,0.000332
