function name,avg time,min time,max time,std dev
copy_matrix_5000,0.019313,0.114658,0.117089,0.820803
copy_matrix_7000,0.041356,0.114658,0.292144,0.873261
copy_matrix_9000,0.063677,0.114658,0.395882,0.936678
look_and_say_sequence_40,0.006652,0.038195,0.040429,0.016280
look_and_say_sequence_45,0.024330,0.038195,0.149586,0.059577
look_and_say_sequence_48,0.052962,0.038195,0.324539,0.129703
iterative_fibonacci_25,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_35,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_45,0.000000,0.000000,0.000001,0.000000
recursive_fibonacci_25,0.000006,0.000000,0.000079,0.000020
recursive_fibonacci_35,0.000790,0.000000,0.009807,0.002738
recursive_fibonacci_45,0.106907,0.000000,1.293403,0.370349
matrix_multiplication_1500,0.251601,1.506886,1.514834,0.615528
matrix_multiplication_1750,0.410798,1.506886,2.476363,1.006249
matrix_multiplication_2000,0.626248,1.506886,3.776675,1.440441
evaluate_functions_80000,4.252853,25.398586,25.652825,10.417407
evaluate_functions_90000,4.773907,25.398586,28.800104,11.693725
evaluate_functions_100000,5.352848,25.398586,32.439614,13.112129
belief_propagation_250,0.027182,0.160697,0.165334,0.062644
belief_propagation_500,0.052715,0.160697,0.323273,0.120703
belief_propagation_1000,0.104649,0.160697,0.642918,0.243392
markov_chain_function_5000,0.000074,0.000430,0.000479,0.051176
markov_chain_function_10000,0.000143,0.000430,0.000857,0.083504
markov_chain_function_15000,0.000215,0.000430,0.001290,0.127306
iterative_solver_100,0.029468,0.174806,0.178459,0.070827
iterative_solver_150,0.145821,0.174806,0.892152,0.352283
iterative_solver_200,0.438611,0.174806,2.660954,1.063621
find_munchausen_numbers_0,1.399495,2.775067,2.812475,1.979037
find_pernicious_numbers_100000,0.000520,0.001036,0.001043,0.000735
