function name,avg time,min time,max time,std dev
copy_matrix_5000,0.048975,0.144106,0.149179,0.056564
copy_matrix_7000,0.095582,0.144106,0.296526,0.110441
copy_matrix_9000,0.159433,0.144106,0.481210,0.184101
look_and_say_sequence_40,0.013269,0.038797,0.041494,0.015338
look_and_say_sequence_45,0.048871,0.038797,0.148982,0.056446
look_and_say_sequence_48,0.103528,0.038797,0.312339,0.119547
iterative_fibonacci_25,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_35,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_45,0.000000,0.000000,0.000001,0.000000
recursive_fibonacci_25,0.000051,0.000000,0.000332,0.000105
recursive_fibonacci_35,0.005778,0.000000,0.034975,0.011796
recursive_fibonacci_45,0.693628,0.000000,4.217373,1.415986
matrix_multiplication_1500,3.656706,10.558101,11.324711,4.226329
matrix_multiplication_1750,5.983401,10.558101,18.208763,6.910706
matrix_multiplication_2000,8.695370,10.558101,26.288962,10.040905
evaluate_functions_80000,21.867609,65.009360,66.114812,25.251906
evaluate_functions_90000,24.595272,65.009360,75.367132,28.408210
evaluate_functions_100000,26.918489,65.009360,81.966888,31.088208
belief_propagation_250,0.426485,0.561061,2.705956,0.762677
belief_propagation_500,0.256053,0.561061,0.935755,0.303478
belief_propagation_1000,0.405941,0.561061,1.362566,0.482730
markov_chain_function_5000,0.000153,0.000443,0.000489,0.000177
markov_chain_function_10000,0.000293,0.000443,0.000880,0.000339
markov_chain_function_15000,0.000447,0.000443,0.001360,0.000517
iterative_solver_100,0.129535,0.384386,0.394863,0.149596
iterative_solver_150,0.611153,0.384386,1.837633,0.705701
iterative_solver_200,1.884130,0.384386,5.672605,2.175633
find_munchausen_numbers_0,12.143940,11.618854,12.753649,0.467126
find_pernicious_numbers_100000,0.004675,0.004343,0.005098,0.000315
