function name,avg time,min time,max time,std dev
copy_matrix_5000,12.374828333333335,12.363077,12.389808,0.013654786425767706
copy_matrix_7000,0.8666070000000001,0.859691,0.872079,0.006318978398443882
copy_matrix_9000,1.4656616666666666,1.43281,1.528046,0.05405189843412845
look_and_say_sequence_40,1.0098083333333332,0.866428,1.284071,0.23760062656974063
look_and_say_sequence_45,21.57871533333333,19.641207,24.093685,2.2817178350405936
look_and_say_sequence_48,223.590137,215.876849,236.298024,11.088986043514394
count_words_bible.txt,0.47178566666666666,0.436315,0.525766,0.04751132675829344
count_words_book1.txt,0.10264633333333333,0.081783,0.143206,0.035130547851312165
count_words_plrabn12.txt,0.056336,0.050068,0.067828,0.00996604394933115
count_words_world192.txt,0.26616633333333334,0.212307,0.372165,0.09180156644269931
iterative_fibonacci_25,1.2e-05,0.000004,2.6e-05,1.2165525060596438e-05
recursive_fibonacci_25,0.067878,0.060127,0.081379,0.011734937196252909
iterative_fibonacci_35,0.000004,0.000001,0.000009,4.358898943540674e-06
recursive_fibonacci_35,7.181294666666667,6.881395,7.426635,0.2766843057354957
iterative_fibonacci_45,8.666666666666666e-06,0.000004,1.6e-05,6.429100507328636e-06
recursive_fibonacci_45,850.105077,826.089119,863.065648,20.820233200225882
matrix_multiplication_1500,1.935011,1.934623,1.935738,0.000630076979423939
matrix_multiplication_1750,3.101675333333333,3.09816,3.104902,0.0033802569922024355
matrix_multiplication_2000,4.654067333333333,4.650722,4.658114,0.0037455730313710922
belief_propagation_250,6.277799999999999,6.27295,6.287277,0.008208080104384783
belief_propagation_500,12.343348666666666,12.335865,12.355548,0.010655198559076305
belief_propagation_1000,24.595414333333334,24.542705,24.627485,0.04600410874403798
markov_chain_function_5000,0.023963333333333336,0.023817,0.024083,0.00013499012309548127
markov_chain_function_10000,0.04563933333333333,0.045489,0.0459,0.000226628183007617
markov_chain_function_15000,0.06471566666666667,0.063336,0.065995,0.0013323364189773265
compute_FFT_1000,0.08034566666666666,0.06262,0.112503,0.02789772704600383
compute_FFT_3000,0.62595,0.62357,0.62963,0.003232398490285524
compute_FFT_5000,1.7666206666666666,1.765518,1.767917,0.0012111689945393151
iterative_solver_100,112.85015500000002,112.780521,112.900025,0.06215515486265292
iterative_solver_150,589.8769256666666,588.104288,591.429548,1.673512347452588
iterative_solver_200,1742.4265750000002,1733.678033,1758.227735,13.710453404707069
sqrt_matrix_1000,4.732525,4.670088,4.82151,0.07912491863502934
sqrt_matrix_2000,38.584728,38.469442,38.695257,0.11298263292647992
sqrt_matrix_4000,309.7060716666667,308.272719,311.537298,1.6682615510705678
compute_quadrature_50,0.009902333333333334,0.002878,0.023897,0.01211976692570172
compute_quadrature_75,0.0012713333333333333,0.001195,0.001398,0.00011046417217058803
compute_quadrature_100,0.0017166666666666667,0.001646,0.001805,8.09588372775532e-05
evaluate_functions_80000,31.454111,31.377863,31.514579,0.0697106337942783
evaluate_functions_90000,35.38757966666667,35.349273,35.423897,0.037351752694262476
evaluate_functions_100000,39.085199333333335,39.041656,39.130725,0.04456757705252906
find_munchausen_numbers_0,469.03696033333335,467.578167,470.160546,1.323421119581492
find_pernicious_numbers_100000,0.126978,0.124147,0.130235,0.0030662751018132707
serial_time_series_processing_0,0.00018333333333333334,0.00004,0.000452,0.00023284615808153957
