function name,avg time,min time,max time,std dev
copy_matrix_5000,0.019441,0.115945,0.117727,0.825848
copy_matrix_7000,0.038328,0.115945,0.230987,0.889335
copy_matrix_9000,0.062845,0.115945,0.377827,0.939607
look_and_say_sequence_40,0.006190,0.036616,0.037505,0.015145
look_and_say_sequence_45,0.023036,0.036616,0.139414,0.056394
look_and_say_sequence_48,0.051034,0.036616,0.311837,0.124974
iterative_fibonacci_25,0.000000,0.000000,0.000013,0.000002
iterative_fibonacci_35,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_45,0.000000,0.000000,0.000001,0.000000
recursive_fibonacci_25,0.000006,0.000000,0.000080,0.000022
recursive_fibonacci_35,0.000808,0.000000,0.009780,0.002799
recursive_fibonacci_45,0.105551,0.000000,1.267340,0.000000
matrix_multiplication_1500,0.286752,1.655481,1.827352,0.702307
matrix_multiplication_1750,0.465656,1.655481,2.920752,1.141203
matrix_multiplication_2000,0.684096,1.655481,4.222963,1.581962
evaluate_functions_80000,4.279099,25.510334,25.768013,10.481718
evaluate_functions_90000,4.816770,25.510334,29.000232,11.798665
evaluate_functions_100000,5.357249,25.510334,32.258152,13.122577
belief_propagation_250,0.027237,0.159736,0.169196,0.062772
belief_propagation_500,0.052140,0.159736,0.314894,0.119895
belief_propagation_1000,0.101928,0.159736,0.617169,0.236849
markov_chain_function_5000,0.000086,0.000489,0.000540,0.058321
markov_chain_function_10000,0.000165,0.000489,0.001022,0.094646
markov_chain_function_15000,0.000246,0.000489,0.001497,0.139037
iterative_solver_100,0.030493,0.179339,0.187131,0.073440
iterative_solver_150,0.143346,0.179339,0.877726,0.346464
iterative_solver_200,0.434152,0.179339,2.620104,1.053049
find_munchausen_numbers_0,1.409132,2.806237,2.824936,1.992634
find_pernicious_numbers_100000,0.000535,0.001033,0.001130,0.000757
