function name,avg time,min time,max time,std dev
copy_matrix_5000,0.049476,0.147682,0.149071,0.057130
copy_matrix_7000,0.097124,0.147682,0.292265,0.112151
copy_matrix_9000,0.160160,0.147682,0.481208,0.184938
look_and_say_sequence_40,0.012844,0.038200,0.038754,0.014831
look_and_say_sequence_45,0.048038,0.038200,0.145536,0.055472
look_and_say_sequence_48,0.106844,0.038200,0.322453,0.123376
iterative_fibonacci_25,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_35,0.000000,0.000000,0.000001,0.000000
iterative_fibonacci_45,0.000000,0.000000,0.000001,0.000000
recursive_fibonacci_25,0.000073,0.000000,0.000459,0.000148
recursive_fibonacci_35,0.005868,0.000000,0.037095,0.011990
recursive_fibonacci_45,0.696075,0.000000,4.228445,1.421155
matrix_multiplication_1500,3.506455,10.390924,10.767871,4.050176
matrix_multiplication_1750,5.624152,10.390924,17.416933,6.498345
matrix_multiplication_2000,8.470253,10.390924,25.879312,9.782508
evaluate_functions_80000,29.048968,86.014546,87.855533,33.546111
evaluate_functions_90000,32.349497,86.014546,97.886819,37.355595
evaluate_functions_100000,36.243352,86.014546,111.216010,41.862626
belief_propagation_250,0.164058,0.486665,0.498630,0.189459
belief_propagation_500,0.323959,0.486665,0.973054,0.374077
belief_propagation_1000,0.644704,0.486665,1.943385,0.744460
markov_chain_function_5000,0.000189,0.000545,0.000588,0.000219
markov_chain_function_10000,0.000382,0.000545,0.001203,0.000441
markov_chain_function_15000,0.000687,0.000545,0.002422,0.000809
iterative_solver_100,0.134399,0.394659,0.408024,0.155230
iterative_solver_150,0.637407,0.394659,1.915320,0.736016
iterative_solver_200,1.977386,0.394659,5.973613,2.283507
find_munchausen_numbers_0,11.684992,11.639783,11.759044,0.052787
find_pernicious_numbers_100000,0.004374,0.004346,0.004404,0.000024
