function name,avg time,min time,max time,std dev
copy_matrix_5000,5.4114235,5.3627159,5.4752561,0.04717273143
count_words_bible.txt,8.358695,8.12876,8.743726,0.2739666184
count_words_book1.txt,4.337612,4.239455,4.396852,0.06990161452
count_words_plrabn12.txt,2.217196,2.11084,2.357637,0.1035969631
count_words_world192.txt,24.745,23.81591,25.93369,0.883850274
iterative_fibonacci_25,4.38e-03,1.08e-05,1.31e-02,0.00616477413
recursive_fibonacci_25,1.34e-03,8.24e-05,3.71e-03,0.001675853192
iterative_fibonacci_35,4.40e-03,9.52e-06,1.32e-02,0.006190712037
recursive_fibonacci_35,1.42e-03,1.08e-04,3.80e-03,0.001683557793
iterative_fibonacci_45,4.44e-03,1.58e-05,1.32e-02,0.006229743035
recursive_fibonacci_45,1.57e-03,1.48e-04,4.01e-03,0.001736674802
matrix_multiplication_1500,2.084756,2.067728,2.093487,0.01204191782
matrix_multiplication_1750,3.300986,3.266802,3.336284,0.02837682992
matrix_multiplication_2000,5.015675,4.90023,5.170158,0.113602278
belief_propagation_250,8.496594,8.403458,8.676297,0.1270972791
belief_propagation_500,16.16275,15.1525,16.78972,0.7212489172
belief_propagation_1000,31.65289,31.65289,33.36114,0.7005364319
markov_chain_function_5000,1.85e-02,3.09e-02,4.53e-02,0.007309705051
markov_chain_function_10000,0.05144345,0.03703368,0.0724321,0.01518163981
markov_chain_function_15000,0.6988706,0.05672504,0.09132823,0.01529168654
compute_FFT_1000,0.2457579,0.2241374,0.279598,0.02423435664
compute_FFT_3000,3.250122,3.221878,3.303728,0.03792342203
compute_FFT_5000,10.32823,10.1869,10.51092,0.1354760518
iterative_solver_100,32.049816,31.841498,32.43398,0.2719678169
iterative_solver_150,164.81034,164.28117,165.2654,0.4052099765
iterative_solver_200,489.76022,487.84202,492.38911,1.923161318
sqrt_matrix_1000,2.034415,1.718302,2.653038,0.4374675378
sqrt_matrix_2000,14.52661,14.45544,14.6088,0.06309142854
sqrt_matrix_4000,112.9222,111.6587,113.9134,0.9404000886
compute_quadrature_50,4.09e-03,4.75e-04,1.01e-02,0.004282428002
compute_quadrature_75,4.42e-03,8.54e-04,1.04e-02,0.004257051331
compute_quadrature_100,0.004938822,0.001413423,0.01085818,0.004211028636
evaluate_functions_80000,44.56893,42.74729,48.17663,2.551072822
evaluate_functions_90000,47.85661,47.54476,48.05904,0.2237566117
evaluate_functions_100000,54.94803,54.21641,55.63549,0.5801773911
